"","ADDRESS","METERID","ENERGY","Year","Month","Day_Month","Day_Year","Week_Day","Volume.m3.","Hours","Power.kW.","Flow.l.h.","Flow.T.ºC.","Return.T.ºC.","DHW.Flow.ºC.","SH.Flow.T.ºC.","SH.Ret.T.ºC.","Temperature","Wind.speed","Wind.direction","Irradiation.flux"
"207","Kummeli  15",10045,2320,2019,7,26,207,"FRI",5048.79,9493,4.6,781,61.3847826086957,56.3030434782609,58.385652173913,26.0539130434783,37.9660869565217,21.166496011087,2.83932444791667,66.7179548208696,4663.43440029783
"208","Kummeli  15",10045,2344,2019,7,27,208,"SAT",5071.18,9517,4.5,698,60.7217391304348,56.1913043478261,58.115652173913,26.2686956521739,38.6269565217391,25.2575634279348,3.33273755671014,66.6574786440217,7107.65204116208
"209","Kummeli  15",10045,2368,2019,7,28,209,"SUN",5095.98,9541,3.5,1299,60.0660869565217,55.7926086956522,57.5947826086957,26.4734782608696,38.5352173913044,24.3793912752174,2.39624646352899,139.362640248457,5406.9383913725
"210","Kummeli  15",10045,2392,2019,7,29,210,"MON",5122.14,9565,2.6,1359,60.9121739130435,56.4608695652174,58.3352173913043,26.4813043478261,38.36,15.6275764982971,3.36842074581884,100.523012474203,7060.1915343845
"211","Kummeli  15",10045,2416,2019,7,30,211,"TUE",5146.41,9589,4.8,697,63.1554166666667,57.4404166666667,59.76875,26.4391666666667,38.8583333333333,12.6091375163611,2.40990990040278,135.125870794979,2622.93952910167
"212","Kummeli  15",10045,2595,2019,7,31,212,"WED",5164,9613,4.9,690,62.3766666666667,56.7329166666667,59.0425,25.8191666666667,38.74125,11.5092315044757,2.96165318646528,194.044109287507,1935.97195839375
"213","Kummeli  15",10045,2432,2019,8,1,213,"THU",5183.75,9637,4.6,811,61.875,56.4933333333333,58.7220833333333,25.56375,38.8291666666667,15.0587854367014,1.84038355465278,213.663490391278,5317.2045539575
"214","Kummeli  15",10045,2456,2019,8,2,214,"FRI",5204.09,9661,4.7,808,62.34625,56.8275,59.1308333333333,25.6345833333333,38.6608333333333,14.3496013682986,2.32945337813889,161.267246487049,3711.62177100508
"215","Kummeli  15",10045,2480,2019,8,3,215,"SAT",5223.66,9685,7.9,932,62.125652173913,56.7808695652174,58.9513043478261,25.2286956521739,38.5291304347826,12.3538014315036,2.88377678389855,141.42491989121,4157.41421201492
"216","Kummeli  15",10045,2504,2019,8,4,216,"SUN",5243.63,9709,4.8,851,62.245,56.68125,58.9795833333333,24.8629166666667,38.3191666666667,11.5754968314097,2.3610210449375,228.588263268826,5002.88843946742
"217","Kummeli  15",10045,2528,2019,8,5,217,"MON",5263.88,9733,5.3,753,62.4175,56.545,58.9825,24.8220833333333,38.1725,13.7707518401528,3.68113171565625,295.29452675,6625.95231304125
"218","Kummeli  15",10045,2552,2019,8,6,218,"TUE",5283.84,9757,4.7,783,62.2679166666667,56.3054166666667,58.705,24.8825,38.4133333333333,15.1936064943403,3.05530243116319,237.564604840833,3863.72613983992
"219","Kummeli  15",10045,2576,2019,8,7,219,"WED",5304.2,9781,5.2,843,62.2586956521739,56.5465217391304,58.914347826087,25.1160869565217,38.5869565217391,16.6881616256522,1.9906360874529,231.348679131413,3315.22713090667
"220","Kummeli  15",10045,2632,2019,8,8,220,"THU",5325.1,9805,4.9,817,62.475652173913,56.8382608695652,59.1504347826087,25.0669565217391,38.5595652173913,16.3080422799275,1.84564206847464,180.508797013047,4426.38084527475
"221","Kummeli  15",10045,2656,2019,8,9,221,"FRI",5345.37,9829,4.8,851,62.5008695652174,56.4391304347826,58.9434782608696,25.1465217391304,38.4747826086956,15.8204480440942,2.34362022259783,282.50293292983,3371.72385727917
"222","Kummeli  15",10045,2680,2019,8,10,222,"SAT",5365.13,9853,4.8,783,62.0741666666667,56.79125,58.9604166666667,25.00375,38.3204166666667,17.1402768104167,1.41610908915972,186.802310400087,5324.86733715258
"223","Kummeli  15",10045,2704,2019,8,11,223,"SUN",5385.89,9877,4.7,941,62.29125,56.3633333333333,58.7491666666667,25.23375,38.365,17.0913701144792,2.66067762220833,198.064479071042,2717.75666493842
"224","Kummeli  15",10045,2728,2019,8,12,224,"MON",5406.47,9901,5.2,723,62.5191666666667,55.9820833333333,58.675,25.4304166666667,38.26625,17.9823152304861,2.80707255557639,206.895351442194,4501.20836982483
"225","Kummeli  15",10045,2752,2019,8,13,225,"TUE",5426.15,9925,5,811,62.5958333333333,56.3720833333333,58.8120833333333,25.49375,38.48875,17.0032820321875,1.49702657376042,228.702312340132,3225.57196936892
"226","Kummeli  15",10045,2776,2019,8,14,226,"WED",5445.52,9949,5.3,746,63.2175,56.8379166666667,59.4054166666667,25.3525,38.3054166666667,16.2220327173611,3.46538221532639,245.411776739931,3583.51740869758
"227","Kummeli  15",10045,2800,2019,8,15,227,"THU",5464.1,9973,5,705,62.8930434782609,56.8426086956522,59.3639130434783,25.0208695652174,38.2921739130435,14.7419363133333,3.56263862422101,259.794745919203,5119.11264474842
"228","Kummeli  15",10045,2824,2019,8,16,228,"FRI",5482.84,9997,4.9,778,62.4445454545455,56.8290909090909,59.14,24.9709090909091,38.195,16.6176405114773,2.04875971210985,212.035433951667,5005.53499774275
"229","Kummeli  15",10045,2848,2019,8,17,229,"SAT",5502.72,10021,4.7,828,62.3009090909091,56.325,58.7772727272727,25.2595454545455,38.5454545454545,18.3232232889015,2.46387941513258,149.001467387121,5362.53514306983
"230","Kummeli  15",10045,2872,2019,8,18,230,"SUN",5522.38,10045,5.1,817,62.3658333333333,56.5454166666667,58.9270833333333,25.3375,38.3733333333333,18.1699268880555,2.26169722337847,143.156316828889,5994.923525876
"231","Kummeli  15",10045,2896,2019,8,19,231,"MON",5541.92,10069,4.8,740,62.26625,56.7729166666667,59.0325,25.6554166666667,38.2120833333333,18.4783183870139,3.33824430407986,217.195281492014,3218.18488096708
"232","Kummeli  15",10045,2920,2019,8,20,232,"TUE",5561.9,10093,4.9,685,62.3934782608696,56.5221739130435,58.9408695652174,25.695652173913,38.3360869565217,17.768745133913,3.14461105803623,250.557591394928,5100.49347027392
"233","Kummeli  15",10045,2944,2019,8,21,233,"WED",5581.65,10117,4.7,743,62.9577272727273,56.8131818181818,59.3363636363636,25.7009090909091,38.4063636363636,15.1892520555303,1.57219222119697,214.901910627936,1005.62170569317
"234","Kummeli  15",10045,2968,2019,8,22,234,"THU",5600.25,10141,4.9,733,62.5433333333333,56.8558333333333,59.1141666666667,25.50375,38.4158333333333,15.3617284064236,3.55170625242708,261.114950170139,5295.64442857883
"235","Kummeli  15",10045,2992,2019,8,23,235,"FRI",5619.73,10165,4.8,874,62.2858333333333,56.8333333333333,59.1408333333333,25.4591666666667,38.5483333333333,17.3862190869792,4.30962575157292,233.524726429861,3674.76550182433
"236","Kummeli  15",10045,3016,2019,8,24,236,"SAT",5640.22,10189,4.7,881,62.4891666666667,56.9675,59.25875,25.5008333333333,38.59875,18.6263913664236,3.90991960217708,290.594155172049,4651.8615886355
"237","Kummeli  15",10045,3040,2019,8,25,237,"SUN",5659.76,10213,5,678,63.31625,56.425,59.1395833333333,25.55625,38.14375,17.2769842974306,1.62151706086806,252.213785592604,5430.95617274358
"238","Kummeli  15",10045,3064,2019,8,26,238,"MON",5677.77,10237,9.6,666,65.3183333333333,56.3441666666667,59.7766666666667,25.84875,38.84875,19.8059788345833,3.82276570419445,258.342515756945,5170.0211126125
"239","Kummeli  15",10045,3088,2019,8,27,239,"TUE",5691.49,10261,4.7,630,64.00125,55.7516666666667,58.8729166666667,25.8870833333333,38.25625,19.9095430482292,2.44115475988889,227.748544092469,5357.78632320117
"240","Kummeli  15",10045,3112,2019,8,28,240,"WED",5707.4,10285,5.9,965,63.6875,56.0516666666667,59.0445833333333,25.9625,38.3425,19.7121639133333,2.17559018761458,137.349832943056,5266.59642679125
"241","Kummeli  15",10045,3136,2019,8,29,241,"THU",5723.91,10309,5,907,63.7445833333333,56.3983333333333,59.3116666666667,26.0529166666667,38.24625,19.2414227714583,2.67396109598264,144.611237759722,4696.344297948
"242","Kummeli  15",10045,3160,2019,8,30,242,"FRI",5740.36,10333,5.7,757,64.6345833333333,56.0958333333333,59.3070833333333,26.1708333333333,38.5420833333333,18.8981551905208,2.03362550581597,222.152335397569,1697.77825835575
"243","Kummeli  15",10045,3184,2019,8,31,243,"SAT",5755.2,10357,4.9,746,64.73625,56.2133333333333,59.5120833333333,26.0716666666667,38.6254166666667,17.6362105184028,1.88187219363542,265.350972765288,4781.02612176108
"244","Kummeli  15",10045,3208,2019,9,1,244,"SUN",5769.74,10381,4.5,796,64.4791666666667,56.3258333333333,59.34375,26.0066666666667,38.415,18.8206128788194,1.84515927927431,174.295672021201,5152.72424776983
"245","Kummeli  15",10045,3232,2019,9,2,245,"MON",5784.27,10405,10.5,1078,63.88875,56.2520833333333,59.1970833333333,26.0620833333333,38.3683333333333,18.6547124327431,3.07069627777431,195.972578579514,4942.77302914117
"246","Kummeli  15",10045,3256,2019,9,3,246,"TUE",5799.86,10429,4.7,810,63.87625,56.0854166666667,59.1025,26.0029166666667,38.6554166666667,14.6565867770833,2.46491597907292,255.543191345486,1497.05940616375
"247","Kummeli  15",10045,3280,2019,9,4,247,"WED",5815.22,10453,5,579,64.7775,56.6425,59.7475,25.7354166666667,38.6575,15.312855756566,3.38480092224653,224.580015379514,3972.82411262183
"248","Kummeli  15",10045,3304,2019,9,5,248,"THU",5829.47,10477,4.8,507,65.0108333333333,56.2979166666667,59.58875,25.655,38.4466666666667,17.0493560616319,3.6204307815868,207.258085227431,4569.66141693808
"249","Kummeli  15",10045,3328,2019,9,6,249,"FRI",5843.4,10501,4.8,519,65.3541666666667,56.5404166666667,59.8770833333333,25.8220833333333,38.1208333333333,15.3596218822917,3.999787748625,243.495800945139,3605.1605891995
"250","Kummeli  15",10045,3352,2019,9,7,250,"SAT",5856.84,10525,6.1,573,64.36375,56.0129166666667,59.2608333333333,25.5454166666667,38.4645833333333,14.5146578624306,2.69500313209028,206.653969835069,4480.86286687383
"251","Kummeli  15",10045,3376,2019,9,8,251,"SUN",5871.4,10549,4.9,577,64.35375,55.8525,59.1425,25.4804166666667,38.3416666666667,15.5897686760312,3.90980299181597,114.589965135312,2939.92128827608
"252","Kummeli  15",10045,3400,2019,9,9,252,"MON",5886.29,10573,4.9,538,65.3120833333333,56.7258333333333,59.90875,25.70375,38.2291666666667,19.7115020477431,2.9282475505625,149.498442215452,4260.85804299642
"253","Kummeli  15",10045,3424,2019,9,10,253,"TUE",5899.84,10597,4.9,525,65.3845833333333,56.5683333333333,59.8216666666667,25.8533333333333,38.07,19.8082796588542,3.28515272366667,138.090446784375,3770.31726395867
"254","Kummeli  15",10045,3448,2019,9,11,254,"WED",5913.43,10621,4.5,808,64.30875,56.215,59.3179166666667,25.8025,38.1575,17.6902857582639,4.54224177690625,212.029459396528,3442.27951807733
"255","Kummeli  15",10045,3472,2019,9,12,255,"THU",5928.14,10645,5.2,576,64.7983333333333,56.63625,59.6766666666667,25.44625,38.5425,15.3036242510417,4.70988004142361,235.1971463875,2468.60131537275
"256","Kummeli  15",10045,3496,2019,9,13,256,"FRI",5941.99,10669,7.2,625,64.8229166666667,56.7895833333333,59.735,25.11125,38.18125,12.9403237979965,4.67703843946528,258.436089169445,1232.04741546658
"257","Kummeli  15",10045,3520,2019,9,14,257,"SAT",5955.95,10693,5,601,64.4979166666667,56.5795833333333,59.6616666666667,24.3908333333333,38.045,10.6382699554479,4.77253015373958,280.348898175347,3116.63101811575
"258","Kummeli  15",10045,3544,2019,9,15,258,"SUN",5970.77,10717,5.3,613,64.5770833333333,56.1166666666667,59.4045833333333,23.86625,37.55625,9.9932424114375,5.32147938919444,238.700237610417,696.128569947417
"259","Kummeli  15",10045,3568,2019,9,16,259,"MON",5985.94,10741,6.2,648,64.8983333333333,54.8495833333333,59.13125,26.3533333333333,37.0425,10.4941071346076,5.61093704908681,272.487837582639,2368.92207124558
"260","Kummeli  15",10045,3592,2019,9,17,260,"TUE",6001.93,10765,20.3,787,66.5858333333333,45.27,59.7283333333333,38.5679166666667,33.4191666666667,8.7333435799618,2.68274981542014,269.25378852451,2663.85200447458
"261","Kummeli  15",10045,3616,2019,9,18,261,"WED",6021.96,10789,23.8,907,68.18875,44.9554166666667,60.08375,40.97875,35.2070833333333,6.61499883975,2.20470062336458,233.184203209038,2227.09086006608
"262","Kummeli  15",10045,3640,2019,9,19,262,"THU",6041.55,10813,23,774,68.2779166666667,44.8620833333333,59.9554166666667,40.75,35.1175,6.49334511363889,1.98605280690972,240.07799902467,3263.08115990467
"263","Kummeli  15",10045,3696,2019,9,20,263,"FRI",6060.33,10837,20,741,68.3704166666667,44.9058333333333,59.7308333333333,40.9091666666667,35.28,6.33652690020486,2.72491392304861,282.122116935319,3427.57764679775
"264","Kummeli  15",10045,3720,2019,9,21,264,"SAT",6079.09,10861,21.9,751,67.9479166666667,45.0233333333333,59.5283333333333,39.4291666666667,34.3325,8.81029569142708,3.10406752969792,267.139662686462,1508.99238776983
"265","Kummeli  15",10045,3744,2019,9,22,265,"SUN",6096.91,10885,18.4,634,67.725,44.9533333333333,59.1591666666667,39.3695833333333,34.29875,7.43130535365625,3.57163460650347,249.808365146333,3347.42459099067
"266","Kummeli  15",10045,3768,2019,9,23,266,"MON",6115.2,10909,41.9,1461,70.72375,44.0720833333333,58.6370833333333,42.71625,36.6045833333333,4.36997107189236,2.48397530680208,290.110062730396,2621.64048440233
"267","Kummeli  15",10045,3792,2019,9,24,267,"TUE",6133.29,10933,24.1,738,70.9191666666667,44.5354166666667,60.1,40.4879166666667,35.0379166666667,7.00999779067361,2.06125300337847,276.020249299653,2497.441524563
"268","Kummeli  15",10045,3816,2019,9,25,268,"WED",6149.37,10957,19.9,620,70.7370833333333,43.3183333333333,59.04125,39.9433333333333,34.48625,7.52000750510764,2.76634240465972,237.907908096528,2359.47726991825
"269","Kummeli  15",10045,3840,2019,9,26,269,"THU",6165.01,10981,23.7,720,70.6970833333333,44.2025,59.0095833333333,42.025,36.225,8.3304476205764,1.40272691832986,251.600581371295,3426.67273445567
"270","Kummeli  15",10045,3864,2019,9,27,270,"FRI",6181.57,11005,22.8,742,70.5145833333333,44.1679166666667,58.8616666666667,41.6783333333333,36.0033333333333,8.8264542749618,1.51064773681944,231.467551223062,3505.47421364808
"271","Kummeli  15",10045,3888,2019,9,28,271,"SAT",6197.83,11029,19.9,654,70.845,44.5983333333333,59.3575,39.06,34.2175,9.08764957703819,2.96607841009722,119.78180891309,2800.88464972975
"272","Kummeli  15",10045,3912,2019,9,29,272,"SUN",6212.45,11053,16.8,480,70.7904761904762,43.9195238095238,59.0742857142857,37.9490476190476,33.5395238095238,11.0563071363889,2.61983423904762,201.867995521032,965.034743210167
"273","Kummeli  15",10045,3936,2019,9,30,273,"MON",6226.4,11077,16.1,491,70.2878260869565,44.16,58.8291304347826,36.7082608695652,32.8660869565217,11.7665590044203,2.30774457121014,168.336472863007,1021.82905223975
"274","Kummeli  15",10045,3960,2019,10,1,274,"TUE",6238.78,11101,14.9,575,68.99,44.3191666666667,58.8916666666667,38.2033333333333,33.7995833333333,9.83985022067013,5.79101148725694,255.580004145833,2768.23204405142
"275","Kummeli  15",10045,3984,2019,10,2,275,"WED",6253.1,11125,19.7,716,70.2445833333333,44.2433333333333,59.195,40.56125,35.4870833333333,9.31875402493056,4.24936664232986,223.254354390347,2832.80070626292
"276","Kummeli  15",10045,4008,2019,10,3,276,"THU",6268.42,11149,19.9,633,68.0854166666667,44.2004166666667,58.5433333333333,41.1720833333333,35.72375,6.86541809870833,2.44108938612847,98.4598105679896,668.946737008667
"277","Kummeli  15",10045,4032,2019,10,4,277,"FRI",6286.64,11173,19.7,881,67.0195833333333,45.2270833333333,59.1075,44.1408333333333,37.7545833333333,3.19723380790972,1.84896671799305,265.241223781229,943.429066196917
"278","Kummeli  15",10045,4056,2019,10,5,278,"SAT",6308.35,11197,25.4,1042,67.605,46.07875,59.9595833333333,46.5958333333333,39.2691666666667,1.31891846591667,2.24012232314931,281.016361333597,2161.1914073065
"279","Kummeli  15",10045,4080,2019,10,6,279,"SUN",6333.21,11221,27.3,1072,67.405,45.6666666666667,59.38,47.04,39.345,0.937876369350695,1.45421157263194,271.745196223635,1273.18596855717
"280","Kummeli  15",10045,4104,2019,10,7,280,"MON",6359.49,11245,26.7,1048,67.855,45.1104166666667,60.1508333333333,45.4420833333333,37.9920833333333,2.14318264559028,1.77781194180208,269.781580034722,1328.97337140083
"281","Kummeli  15",10045,4128,2019,10,8,281,"TUE",6383.82,11269,28.6,1248,67.1633333333333,45.82875,59.975,46.1033333333333,38.4258333333333,2.77622846939236,2.82011003311458,226.222222070139,1166.21437080242
"282","Kummeli  15",10045,4152,2019,10,9,282,"WED",6410.48,11293,24.9,1036,66.8185,45.022,59.6875,43.1025,36.422,5.25116546189167,2.36680385800833,213.41836335,1445.77917774017
"283",NA,NA,NA,NA,NA,NA,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"284",NA,NA,NA,NA,NA,NA,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"285",NA,NA,NA,NA,NA,NA,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"286",NA,NA,NA,NA,NA,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
